f,fase,g
1000,66.60,0.002070511417251
3000,80.62,0.006385134547133
5000,82.34,0.013405929878959
7000,79.97,0.031232566105411
8000,74.13,0.060638635110902
8500,65.10,0.10247478183149
8800,51.21,0.160586607113512
9000,30.99,0.227165829688351
9200,-4.12,0.272927001521856
9300,-22.73,0.256351669494402
9400,-37.70,0.22330483911865
9600,-56.34,0.161181916792466
10000,-71.80,0.096192174305993
11000,-82.23,0.047276997446589
12000,-85.31,0.031899364708302
15000,-88.06,0.016965760608099
20000,-89.10,0.010084494438377
