clk,reset_n,T0,T1,T2,load_n,Ts,count,Y,S0_vermelho,S0_amarelo,S0_verde,S1_vermelho,S1_amarelo,S1_verde,ok
$\uparrow$,1,11,11,01,0,00,0011,11,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,00,0011,11,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,00,0010,11,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,00,0001,11,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,11,11,11,0,01,0011,11,0,1,0,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,11,1,01,0011,11,0,1,0,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,11,1,01,0010,11,0,1,0,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,11,1,01,0001,11,0,1,0,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,11,11,01,0,10,0001,01,1,0,0,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,10,0001,01,1,0,0,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,11,11,01,0,00,0011,11,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,00,0011,11,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,00,0010,11,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,00,0001,11,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}

$\uparrow$,1,11,11,11,0,01,0011,11,1,0,0,0,1,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,11,1,01,0011,11,1,0,0,0,1,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,11,1,01,0010,11,1,0,0,0,1,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,11,1,01,0001,11,1,0,0,0,1,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,11,11,01,0,10,0001,01,1,0,0,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,11,11,01,1,10,0001,01,1,0,0,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,0,11,11,01,0,01,$\times$,$\times$,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
